,results,home,score,match review
0,1,1,1-0,前半のC大阪は相手の「VIPトリオ」を中心としたボール回しへの対応に追われ、劣勢に立たされてしまう。それでも、新加入の奥埜を中心にパスコースを消す動きを続けて冷静に対応する。後半も同様の展開で進むが、途中出場の「新エース」が流れを変えた。都倉は最前線で堅実にポストプレーをこなし、後方からの味方の上がりを促す。先制点を生んだCKもこの働きから得たチャンスだった。リードを得た終盤はピッチ随所のスペースを「つぶす」配置で守りを固め、強力攻撃陣の完封に成功。夜のヤンマーに「桜が咲き」、春の訪れを告げた。
1,0,0,2-0,ホームの名古屋は、序盤から新加入の米本が起点となり、前線のジョーにボールを集めるものの、シュートに持ち込むシーンは少なく、スコアレスで試合を折り返す。後半に入ると、前田と赤崎を投入して現状の打破を図る。それでも相手のブロックを崩せずにいたが、後半34分に赤崎の得点で待望の先制点を獲得し、終了間際にも相手のミスを見逃さなかった赤崎が冷静にゴールに流し込んだ。ディフェンス面でも2試合連続のクリーンシートを達成し、2連勝を記録して最高のスタートを切ったといえるだろう。
2,0,0,2-1,Nah
3,0,1,0-1,ロティーナ監督の下、丁寧なビルドアップを試みるC大阪だったが、随所にミスが見られてピンチを招く苦しい展開。前半19分の失点も連係ミスから生まれ、その後はビハインドを喫した焦りからか敵陣での連動性を欠いてしまう。後半に入り、長短のパスを織り交ぜることで攻撃のバリエーションが生まれ始めるものの、ゴール前での精度を欠いて無得点で終了。公式戦3連敗となり、課題を残す結果となった。一方、広島は「ウノゼロ」での勝利。課題の得点力不足が解消したとは言い切れないものの、うれしい今季初白星を手にした。
4,2,0,0-0,Nah
5,0,1,1-2,いや応なしに注目を集めた「桜の新旧9番対決」。「新9番」都倉は、力強さとテクニカルな足技を交えたプレーで起点となり続けた。その他のタレントも美しい連動を見せ、柿谷とソウザは息の合ったスイッチでゴールを脅かすも、流れから浦和の牙城を破るには至らず。理想的な攻撃を展開しながらも結果が追い付かない、もどかしい一戦に。すると、後半31分には興梠に。同37分には「桜の旧9番」杉本にも得点を許してしまう。試合はこのままタイムアップとなり、リーグ戦3連敗となってしまった。
6,1,0,0-2,3連敗中のチーム同士の対戦は戦術の浸透度が勝負を決めた。開始直後こそ前線の3枚が掛けるプレッシングがはまった仙台だったが、徐々に相手の優れたパスワークに対して後手に回るようになり、中盤を制圧されてしまう。後半からは2シャドーのハモンロペスと吉尾のポジションを左右で入れ替えたが、コンビネーションプレーはあまり見られなかった。一方のC大阪は時間がたつにつれて選手の距離感が良くなり、奥埜とソウザが攻守に渡って奮闘。また、今季初出場の田中にゴールが生まれ、雪が降りしきるユアスタで快勝を収めた。
7,2,0,1-1,今季初の連勝を狙うホームの川崎Fは、序盤から敵陣にボールを運んで攻撃を組み立てるも、シュートに持ち込むシーンは少ない。すると、前半22分に柿谷にミドルシュートを決められて先制点を献上。それでも、後半の立ち上がりに知念の2試合連続ゴールで同点に追い付く。その後は攻撃的な選手を投入して猛攻を仕掛けるものの、逆転弾は生まれず。勝点1を分け合う結果となった。一方のC大阪は追い付かれてしまったものの、敵地2連戦で勝点4を獲得したことはポジティブにとらえられるだろう。
8,1,1,3-0,Nah
9,0,1,0-1,両チームともに締まったプレーを見せ、緊張感のある固い内容の試合となる。ホームのC大阪は連係でペナルティエリアへの進入を試みる札幌の攻撃に耐え、仕掛ける際には前への意識が高い片山や松田を中心に右サイドからの打開を狙う。後半に入ってもなお、一進一退の攻防が続くが、セットプレーから進藤に今季初得点を決められ、苦しい展開になる。その後は収まりの良い都倉に縦パスを入れて攻撃を仕掛け続けるも、タイムアップ。復調のけはいを見せていただけに、痛い敗戦を喫してしまった。
10,0,0,1-0,選手入場時に長期離脱のケガを負った石毛へのメッセージを込めたTシャツを着るなど、仲間への熱い思いを見せた清水は、攻守に高いパフォーマンスを発揮して連勝を飾った。前半から一進一退の攻防が続く中、後半37分に試合が動く。相手のFKのチャンスをしのいでカウンターを開始。六反の高精度のフィードからエウシーニョが素晴らしい抜け出しを見せて、最後は北川の正確なシュートがゴールネットを揺らした。好プレーが連続し、見事な決勝点を奪取。好調のエースを中心とした攻撃は「オレンジ軍団」に浮上のキッカケを与えただろう。
11,1,1,1-0,Nah
12,2,1,0-0,平成最後のヤンマーでの戦いは、スコアレスドローという結果に終わった。フレッシュなメンバーで試合に臨んだC大阪は、キックオフから積極的なプレッシングを敢行し、ビルドアップにたける相手にリズムを与えない。攻撃面でも、高木や清武にシュートチャンスが訪れるなど、悪くない内容で試合を折り返す。運動量が落ちてきた後半は、サイドを打開される場面を多く作られるも、ゴール前での集中力を維持。得点を許さずにリーグ戦での連敗を止めた。一方の大分は敵陣まで攻め込むものの、1点が遠く、上位キープに課題を残す一戦となった。
13,1,0,0-2,ホームの松本は、令和最初の試合で満員のサンアルに歓喜をもたらすことはできなかった。立ち上がりから相手に押し込まれると、前半21分にBメンデスに先制点を奪われ、試合を折り返す。後半は、敵陣深くまで攻め込み、セットプレーを多く獲得するも、精度を欠いて決定機を作れず。逆に、奥埜に追加点を許し、勝負を決められた。一方のC大阪は、J1リーグ戦でデビューを果たした瀬古の活躍などもあり、5試合ぶりに勝点3を獲得した。
14,2,0,2-2,Nah
15,1,1,3-0,C大阪は前線からの粘り強いプレッシングで立ち上がりから相手に脅威を与えると、諦めない姿勢が実を結び、水沼のダイナミックなゴールで先行。その後も素早い攻守の切り替えから何度もゴールに襲い掛かり、相手を圧倒する。後半も勢いはとどまらず、アグレッシブかつダイナミックなプレーでゲームを支配。最終的には三度もネットを揺らし、開幕戦から勝てていなかったヤンマーで、勝利を挙げた。対する横浜FMは、「アタッキングフットボール」を封じられ、劣勢に。まさに完敗といえるゲームとなってしまった。
16,0,0,1-0,「俺たちが大阪さ」。G大阪サポーターの大声援がパナスタに響き渡った。G大阪はリーグ戦2ヵ月勝ちなしと危機的状況で「大阪ダービー」を迎える。宮本監督は絶対に負けられない一戦に高尾や福田、高江と出場機会の少ない若手選手を抜てきした。彼らは序盤こそミスが目立ったものの、積極的にプレーに関与。すると、後半10分に高尾と高江のプレーから倉田のゴールが生まれる。1点リードで終盤を迎えると、遠藤と今野のベテラン勢がゲームを締めて試合終了。若手からベテランまでがそれぞれの持ち味を出して得た会心の勝利となった。
