,results,home,score,match review
0,1,0,0-0,Nah
1,2,1,1-1,1－1の引き分けに終わった一戦は、開幕節にふさわしい好ゲームとなった。先制点を奪ったのは、アウェイの清水だ。前半30分に新加入の中村、金子とのコンビネーションから北川がゴールを決め、「1トップ2シャドー」がいきなり結果を残す。一方、前半こそ苦しんだ広島であったが、後半10分にパトリックを投入すると、流れが一変。同12分、パトリックを狙ったクロスが起点となり、新加入のEサロモンソンが同点弾を奪う。両チームともに新加入選手が得点に関わり、新たなピースが大きく貢献したゲームとなった。
2,2,1,0-0,ホーム2連戦となった広島は序盤から磐田の「サイドバックが中に入り、ボールを受ける」という特徴的なビルドアップにうまく対処するも、守勢に回る時間が長くなってしまう。ただ、守備陣はフィニッシュの場面で思うようにさせず、高い集中力を保ちながら堅実なプレーを披露した。一方の攻撃面では縦への意識を高く持ち、パトリックの身体能力の高さを生かして攻め込む。後半は徐々にペースをつかみ、サイドからの攻撃で何度か決定機を作るも、磐田の堅い守りを崩せず、スコアレスドローで決着。強固な守備をともに披露した一戦となった。
3,0,0,2-0,Nah
4,1,0,0-1,ロティーナ監督の下、丁寧なビルドアップを試みるC大阪だったが、随所にミスが見られてピンチを招く苦しい展開。前半19分の失点も連係ミスから生まれ、その後はビハインドを喫した焦りからか敵陣での連動性を欠いてしまう。後半に入り、長短のパスを織り交ぜることで攻撃のバリエーションが生まれ始めるものの、ゴール前での精度を欠いて無得点で終了。公式戦3連敗となり、課題を残す結果となった。一方、広島は「ウノゼロ」での勝利。課題の得点力不足が解消したとは言い切れないものの、うれしい今季初白星を手にした。
5,1,0,2-1,Nah
6,1,1,1-0,松本をEスタに迎えた広島が、攻守において試合を支配した。守備では、吉野を中心としたディフェンスラインで松本の「スピードスター」前田を抑え込む。一方の攻撃では、柏とEサロモンソンのサイド攻撃を軸にチャンスを創出。前半で得点を奪えなかったものの、後半に歓喜の時が訪れた。後半16分に柏がペナルティエリア手前でDFに囲まれながらも、狙い澄ましたシュートを決めて先制に成功。その後も主導権を手放さず、終了間際のパワープレーもしのいで勝点3をゲット。同時にJ1ホーム通算200勝を達成した。
7,1,0,0-1,大分は前線の選手が果敢に裏への抜け出しを狙うが、広島の強固な守備に対して効果的な縦パスを入れられず。一方の守備陣は、ミスからピンチを招く場面もあり、ボールを持ちながらも主導権を握れない展開となる。後半12分に先制点を献上すると、その後は一層守備の意識が強くなった相手のディフェンスを前に、ホームチームは中盤でボールを回し続けて終了の笛を聞くこととなった。一方でアウェイチームは、佐々木を中心に城壁を築き、リーグ戦4試合連続の無失点と好調を維持。Dヴィエイラの加入後初ゴールが値千金の決勝弾となった。
8,1,1,3-0,ホームの広島が完璧な試合運びで、危なげなく勝点3を奪った。90分間を通して前線から積極的にプレスを掛け、G大阪の分厚い中盤に自由を与えない。ボールを奪った際には、2シャドーの連係を生かしたカウンター攻撃を徹底。このやり方が見事にはまり、着実に得点を重ねる。リードを奪うと、チーム全体でタイトな守備ブロックを築き上げ、強力なアウェイチームの攻撃陣を封殺。今季5回目のクリーンシートを達成し、攻守で充実したパフォーマンスをサポーターに披露した。
9,1,1,2-0,Nah
