,results,home,score,match review
0,0,0,1-0,川崎Fが「平成最後のタイトルマッチ」を制した。前半から持ち味である速いテンポのパス回しを披露して優位に進め、好機を創出。特に輝きを放ったのは、新戦力のLダミアンだ。適応力とアジリティーの高さを見せるストライカーは相手守備陣に難しい対応を迫り、後半7分には挨拶代わりの一撃を突き刺して先制弾を奪取。その後はペースを落とし、1点を守り切って勝利を収めた。一方、浦和は守備に追われて後手に回る時間が長く、90分を通して放ったシュートはわずか1本。点差以上の完敗を喫し、攻撃面で課題を残した。
1,2,0,0-0,互いに不完全燃焼のまま90分を終えた。仙台は右サイドを主軸に据えて攻め込む。蜂須賀とハモンロペスは敵陣で多くボールに触れ、長沢のフィニッシュシーンを演出するが、攻め上がる回数が少ないこともあってネットを揺らすまでには至らない。逆に相手のパスワークに振り回され、守備に追われる時間を長く過ごす展開に。それでも、集中力を切らさずに体を張り続け、無失点を達成したことは収穫か。一方、浦和はボールこそ運べるものの、枠をとらえる強いシュートは数少なく、いまだに「調整段階」であることを印象づける結果となった。
2,0,1,0-2,開始早々に出はなをくじかれた浦和。これで相手に勢いと自信を与えてしまった。ボールを持った際は札幌の素早いプレスに自由を奪われ、またチャナティップを中心とした華麗なパスワークで何度もゴールを脅かされる展開に。シュートミスや西川のセーブに救われて早い時間帯での大量失点は回避したものの、後半も大勢は変わらず。終盤は山中や途中出場のAナバウトの突破から波状攻撃を見せるも、攻撃のスイッチを入れるにはあまりにも遅すぎた。結果、なすすべもなく0－2で完敗し、かつての恩師に勝点3の手土産を渡してしまった。
3,1,0,3-0,Nah
4,1,0,0-1,4季ぶりにJ1開催となった「アルウィン」での一戦は、ホームチームに多くの課題と収穫を与えた。序盤から素早い切り替えと積極的なプレッシングを見せ、相手に決定機を作らせない。後半も、勢いは衰えずに主導権を握るも、一瞬の隙からPKを献上し、後半27分に失点。終盤、反撃を見せるも、阿部や鈴木の投入で守備を固めた相手の守備陣を崩せずに今季初黒星を喫した。一方の浦和は、本調子とは程遠いパフォーマンスでありながらも、しぶとく戦って「勝点3」を奪取。上位進出に向けて勝負強さに自信を付けた。
5,2,0,0-0,Nah
6,1,0,1-2,いや応なしに注目を集めた「桜の新旧9番対決」。「新9番」都倉は、力強さとテクニカルな足技を交えたプレーで起点となり続けた。その他のタレントも美しい連動を見せ、柿谷とソウザは息の合ったスイッチでゴールを脅かすも、流れから浦和の牙城を破るには至らず。理想的な攻撃を展開しながらも結果が追い付かない、もどかしい一戦に。すると、後半31分には興梠に。同37分には「桜の旧9番」杉本にも得点を許してしまう。試合はこのままタイムアップとなり、リーグ戦3連敗となってしまった。
7,2,1,1-1,浦和は敵陣でボールを回し、チャンスを作ろうとするが、自陣に全員が戻り、コンパクトな守備を披露するFC東京を攻略できない状況に苦心。好機が生まれず、堅いゲームが続いたが、後半30分にわずかなチャンスを生かしたアウェイチームの華麗なカウンター攻撃で得点を許してしまう。失点後もボールを保持するが、決定機を作れないジレンマに陥る。それでも、ラストプレーで山中の鋭いクロスに反応した森脇が冷静に押し込み、土壇場で同点弾を奪取。埼玉で04年から負けていない相性の良い相手から勝点1をもぎ取ることに成功した。
8,0,1,0-3,浦和は連係ミスから開始早々に先制点を献上すると、ディフェンスラインの裏を狙う攻撃に終始苦しめられ、何度もチャンスを作られる。しかし、守護神の西川がビッグセーブを連発し、追加点を許さずに前半を終える。ただ、後半もサイドをうまく使われる攻撃に4バックの新布陣では対応できず、流れは変わらない。受け身のまま時間は過ぎ、内容でも結果でも完敗と言える「金J」となってしまった。一方、90分を通してゲームを支配し、三度もネットを揺らした横浜FMはアウェイの浦和戦を3連勝とし、リーグ戦4試合ぶりの勝利を飾った。
9,0,1,0-1,Nah
10,1,0,0-1,本拠地初勝利はいつになるのか。G大阪はまたしてもパナスタで勝点を取れず、ホーム開幕4連敗となった。オジェソクと今野を先発に戻し、守備面で修正を図ったこの一戦。これが功を奏し、相手に流れの中で決定機を与えずに前半を無失点で終える。しかし、前半終了間際に藤春が負傷で交代した影響か、後半からサイド攻撃が停滞。アデミウソンの個人技などでゴールに迫るも、組織として攻撃の形を作れなかった。課題の守備ではセットプレーからの1失点のみに抑えたが、今度は2試合連続での無得点。チームの全体的な見直しが求められる。
11,1,1,1-0,浦和は、前半10分に興梠がPKを沈めて先制に成功。以後は、ボールを保持する相手に対し、引いて守るという構図が続く。ウェリントンの高さを生かしたロングボール攻撃には3バックが体を張り、サイドアタックにはウイングバックが粘り強く対応。強固なブロックが最後まで崩されることはなく、クリーンシートを達成。リーグ戦でうれしいホーム初勝利を挙げた。対する神戸は、ダビドビジャとAイニエスタの強力助っ人が不在の中で、引いた相手を攻略する突破口を見いだせず。開幕節以来の無得点に終わり、3連敗を喫した。
12,0,0,2-1,Nah
13,1,0,0-2,両者、立ち上がりから自陣で守備網を構築することにより好機を作らせないものの、攻撃の糸口をつかめず、堅いゲーム展開に。清水はカウンター攻撃で何度か決定機を演出するも、スコアレスで試合を折り返す。展開が変わらないままゲームは進んでいくが、清水はセットプレーの流れで一瞬の隙を突かれ、失点。次第にドウグラスを生かした攻撃を展開するも、ゴールは割れない上に、終了間際に追加点を献上。手痛い敗戦となった。一方、興梠の活躍により3連勝を達成した浦和は我慢強い戦いで、今節も手堅く勝点を奪取した。
14,0,1,0-1,ゲーム前から浦和サポーターの大声援が響いていた埼玉。終了後に響いていたのは久しぶりの勝利に沸く磐田サポーターによる歓喜の歌声だった。浦和は前半からピンチを迎えていたが、西川を中心に無失点でしのぐ。一方で、左サイドの山中を中心とした攻撃は機能せず、決定機を得られない。そのまま後半を迎えると、終了間際に一瞬の綻びを狙われて万事休す。連勝がストップした。対する磐田はゴール前の精度を欠いて得点を奪えずにいたが、虎視眈々と相手の隙を狙っていたロドリゲスが値千金の決勝弾。完全アウェイの中で大きな勝利を得た。
15,1,0,1-2,Nah
16,0,0,2-0,豊田スに浦和を迎えた好調の名古屋は、攻守において完璧な試合を終始披露した。攻撃では名古屋らしい華麗なパスワークで序盤から相手を翻弄。前半17分のマテウスのスーパーゴールで流れをつかむと、同41分にはチームの代名詞である巧みな崩しからジョーが得点を奪取。アドバンテージと自信を得て完全に試合のペースを握る。守っては丸山と守護神のランゲラックを中心とした鉄壁の守備陣が浦和にチャンスさえほとんど作らせず、2－0でタイムアップ。ホームでの名古屋の恐ろしさを見せた試合となった。
17,0,1,2-3,1つのプレーがゲームを大きく変えた。前半31分の杉岡の際どいシュートはノーゴールの判定。これに湘南側は猛抗議し、場内は騒然とした空気に。そして、この直後のプレーでこの日加入後初得点を挙げていたAナバウトが負傷して交代。浦和はケガ明けのファブリシオを前半から急きょ投入することに。後半に入って動きが遅くなった浦和は湘南に2点を返され、終了間際に山根に決められて万事休す。3連敗を喫した。一方の湘南は会心の逆転勝利。監督と選手、サポーターともに興奮が冷めやらぬ劇的なゲームとなった。
