,results,home,score,match review
0,1,1,1-0,川崎Fが「平成最後のタイトルマッチ」を制した。前半から持ち味である速いテンポのパス回しを披露して優位に進め、好機を創出。特に輝きを放ったのは、新戦力のLダミアンだ。適応力とアジリティーの高さを見せるストライカーは相手守備陣に難しい対応を迫り、後半7分には挨拶代わりの一撃を突き刺して先制弾を奪取。その後はペースを落とし、1点を守り切って勝利を収めた。一方、浦和は守備に追われて後手に回る時間が長く、90分を通して放ったシュートはわずか1本。点差以上の完敗を喫し、攻撃面で課題を残した。
1,2,1,0-0,鬼木監督のもとで3連覇を見据える「蒼黒」と、長谷川体制2年目にさらなる飛躍を期す「青赤」。ともにブラッシュアップしたスタイルを披露した結果、ポゼッションを保つ川崎Fに対してFC東京がカウンターを狙うという構図が90分を通して続く一戦に。その中でも、前半はコンパクトネスを保ったFC東京が、後半は縦パスでの崩しを増やした川崎Fが試合を優位に進める。久保の美しいFKや中村の林との1対1など、惜しい場面こそみられたものの、最後まで得点は生まれず。火花散る「カイマクラシコ」は、ドロー決着となった。
2,2,1,1-1,前半は川崎Fが主導権を握る。パスを細かくつないでボールを保持し、サイド、中央を問わずに好機を創出。特に、加入後初スタメンの馬渡は右サイドで多くのチャンスに関与し、スムーズな連係を披露した。両者1点を奪い合って後半に入ると、相手のカウンターでボールを自陣深くに持ち込まれる場面が増加。チョンソンリョンの冷静な対応とDF陣の踏ん張りでしのぐと、終了間際に決定機が訪れる。しかし、知念のシュートはクォンスンテの好守に阻まれてしまう。ともに目指したリーグ戦初勝利は、次節以降へ持ち越される結果となった。
3,0,0,1-0,Nah
4,2,0,2-2,2連勝の勢いそのままに昨季覇者を迎え入れたホームの横浜FM。開始早々にミスから先制を許すも、サイドを起点とした攻撃からチャンスを作り出すと、前半24分にMジュニオールの加入後初得点で同点に追い付く。その後は試合を優勢に進めながら勝ち越しを許す苦しい展開となったが、ラストワンプレーで交代出場の扇原が値千金の同点弾を奪取。開幕からの無敗は継続となった。対する川崎Fは流れの中からゴールが生まれるも、ACLの上海上港戦に続く終盤の失点でまたしても初勝利はお預けとなった。
5,1,1,1-0,Nah
6,0,1,0-1,リーグ戦未勝利と調子の上がらない川崎F。思わぬ苦戦を強いられる中、今節はG大阪を等々力に迎えた。序盤から主導権を握りつつ、素早い攻守の切り替えで相手に攻撃の隙を与えない。中でも特出した存在だったのは、ボランチとして先発した田中。優れた危機察知能力やボール奪取で幾度もカウンターの芽を摘むなどして、才能の片りんをのぞかせた。ただ、中央を固めるG大阪を最後まで攻略できず、終盤に一瞬の隙を突かれて先制を許してしまう。これが決勝点となり、またしても初勝利は挙げられなかった。
7,1,0,0-2,松本は試合を通して圧倒された。開幕からの不動のスタメンを4名入れ替えて臨んだ一戦となったが、相手のテンポの良いパス回しに振り回されて後手を踏み、自陣に押さえ込まれてしまう。前線からのプレスも冷静にかわされ、効果が生まれずにいると、時間とともに消極的な姿勢があらわに。カウンターでペナルティエリアに近づける回数は少なく、選手交代でも状況は好転しなかった。対して川崎Fは、待望のリーグ戦初勝利。ボールを支配し、主導権を握り続ける理想通りの試合運びを披露した。
8,2,1,1-1,今季初の連勝を狙うホームの川崎Fは、序盤から敵陣にボールを運んで攻撃を組み立てるも、シュートに持ち込むシーンは少ない。すると、前半22分に柿谷にミドルシュートを決められて先制点を献上。それでも、後半の立ち上がりに知念の2試合連続ゴールで同点に追い付く。その後は攻撃的な選手を投入して猛攻を仕掛けるものの、逆転弾は生まれず。勝点1を分け合う結果となった。一方のC大阪は追い付かれてしまったものの、敵地2連戦で勝点4を獲得したことはポジティブにとらえられるだろう。
9,0,0,1-0,Nah
10,1,0,0-1,前半は鳥栖が主導権を握って優位に進める。相手にボールが渡ると、ラインを高く設定し、隙の少ないコンパクトなブロックを構築。的確なタイミングで前線からプレスを掛け、川崎Fが得意とするパスワークを封じる。攻勢に転じると、金崎を中心とした攻撃陣は果敢に仕掛けて好機を創出した。しかし、後半6分に先制を許すと、緩急を駆使してペースを落とす相手の術中にはまって時計の針を進められる。攻撃的な選手を投入するも、状況は好転せずにタイムアップ。今季6試合目となる無得点試合で敗戦を喫した。
11,1,1,2-0,波に乗り切れていない王者が復調の兆しを見せた。マイボールの時間が続く川崎Fは相手の堅守に苦しめられるも、攻撃のテンポを変えながら、守備ブロックのズレを突くことを試みる。すると、絶妙な連係から阿部、知念が得点を挙げ、試合を折り返す。後半は湘南に攻め込まれるが、チョンソンリョンを中心に相手の攻撃をシャットアウト。「神奈川ダービー」を完勝で終え、2連勝を達成した。一方の湘南は粘り強い守備で健闘したものの、前半の2失点が相手に余裕を与え、自身には重くのしかかることに。効果的な反撃を続けられなかった。
12,2,1,2-2,Nah
13,1,0,1-2,ノエスタに好調な川崎Fを迎えた神戸。序盤はAイニエスタを中心としたパスワークでチャンスを創出する。しかし、前半15分に馬渡にFKを直接決められると、展開は一変。Aイニエスタとダビドビジャが孤立してしまい、攻撃の形を作れず、相手に主導権を握られる。同37分には小林に追加点を許し、2点のビハインドを負って試合を折り返す。それでも、後半23分に三田を投入すると、再び試合の流れをつかみ、同37分に古橋が得点を決める。しかし、時すでに遅し。神戸は連敗を止められず、吉田監督は就任後の初勝利を逃した。
14,1,1,3-1,川崎Fがホームで完勝した。前半からボールを支配すると、前半13分に代名詞のパスワークで中央を崩し、小林が先制点を挙げる。その後も素早い攻守の切り替えや、前線からの激しいプレスで相手にチャンスを与えない。同37分に長谷川が追加点を奪い、2点リードで試合を折り返すと、後半8分には小林がPKを冷静に決めて試合を決定付けた。今季初先発の脇坂は2点に絡む活躍。また、今季初出場のジェジエウはハモンロペスに仕事をさせず、存在感を放った。新たな戦力を発掘しつつも4連勝を飾り、チームの雰囲気は最高潮だ。
15,2,1,2-2,Nah
16,1,0,0-4,清水は停滞感のあるチーム状況を上向かせたかったが、厳しい現状に変化は生まれなかった。攻撃面では2戦連続で無得点に終わっている前線が、今節も鳴りをひそめてしまい、守備面ではチームに溶け込み始めていたRアウグストが戦線を離脱した影響もあり、狙いどころで相手からボールを奪えず、大量得点を献上。流れを変えるために、後半途中で4－3－3へのシステム変更を行ったが、攻撃を活性化したとは言い難く、悩ましい90分となってしまった。対する川崎Fは勢いそのままに敵地で大量4得点を挙げ、5連勝を達成した。
17,2,1,1-1,川崎Fは流動的なアタックを仕掛けて主導権を握るも、名古屋の統率された守備により、フィニッシュで終われない時間が続く。その中でマテウスに華麗なドライブシュートを決められ、歯がゆい試合展開に。そんな状況を変えたのは途中出場のLダミアン。力強いプレーで勢いをもたらすと、後半24分に彼らしいダイナミックなプレーでネットを揺らす。ここから逆転と行きたかったが、最後まで相手の堅い守備に苦戦。対する名古屋も相手の隙をうまく突きながら攻め込んだものの、勝ち越し弾を奪うには至らず。1－1で勝点1を分け合った。
