,results,home,score,match review
0,0,0,2-0,昨季飛躍を果たした両チームの対戦はホームの湘南に軍配が上がった。ボールを支配する札幌に押し込まれる展開が続いたが、それでも運動量で相手を圧倒する「湘南スタイル」は今季も健在。時間帯が深まるにつれて徐々に流れを引き寄せると、「復帰戦」の武富が気迫のこもった2得点を挙げる。BMWスを歓喜の渦に巻き込み、3年連続の開幕戦勝利に大きく貢献した。対する札幌は攻撃陣がかみ合わず、無念の完封負け。前線ではチャナティップの単騎突破に頼るシーンが目立ち、Aロペスや鈴木ら新戦力の一刻も早いフィットが求められる。
1,1,0,0-2,開始早々に出はなをくじかれた浦和。これで相手に勢いと自信を与えてしまった。ボールを持った際は札幌の素早いプレスに自由を奪われ、またチャナティップを中心とした華麗なパスワークで何度もゴールを脅かされる展開に。シュートミスや西川のセーブに救われて早い時間帯での大量失点は回避したものの、後半も大勢は変わらず。終盤は山中や途中出場のAナバウトの突破から波状攻撃を見せるも、攻撃のスイッチを入れるにはあまりにも遅すぎた。結果、なすすべもなく0－2で完敗し、かつての恩師に勝点3の手土産を渡してしまった。
2,2,0,1-1,Nah
3,1,1,5-2,前節にアウェイで今季初勝利を飾り、ホーム開幕戦を迎えた札幌。守備時には全員が自陣に戻ってボールを奪取し、攻撃ではAロペスを中心に左右にボールを展開。試合を優位に進め、1点リードで折り返す。後半は開始直後から前がかりになった清水に対し、今度はカウンター攻撃で応戦。これで勢いはさらに増し、素早い攻撃から何度もゴールへと迫る。終わってみればAロペスの連続追撃弾で大量5得点を挙げての白星を飾った。一方の清水は、開幕からの3戦で10失点を喫しており、守備の改善が求められる。
4,2,1,0-0,Nah
5,0,1,1-3,清水戦では、鈴木とAロペスの前線2人で5得点を奪った札幌だが、今節の相手は11試合連続勝ちなしと相性の悪い鹿島。積極的な攻撃を展開するが、「試合巧者な鹿島」に2点リードを許し、試合を折り返す。後半開始から徐々に攻撃のリズムを取り戻し、押し込む時間帯が続くも、レアンドロに3点目を奪われてしまう。後半40分にAロペスの2試合連続ゴールで1点を返すが、反撃もここまで。今回も苦汁をなめさせられる結果となった。
6,0,0,4-0,4節での敗戦から8連敗を喫した昨季との違いを見せることに成功した名古屋。速い出足で中盤を支配するほか、パスワークの際の味方との関わり方で相手を圧倒すると、決定機をことごとく沈めて前半だけで3点を奪って折り返す。後半に入っても集中を切らさずに1点を追加する。すると、守備面でも米本を中心に札幌のカウンターをつぶすなど、光るプレーを連発。最後まで統率されたラインで相手の攻撃を抑え、ほぼ完璧な試合運びで今季三度目の完封勝利を達成した。
7,0,1,1-2,前からの激しいプレスと多くの味方の攻撃参加でゴールを目指す札幌と、後方からつなぎつつ、有効なスペースを突いて攻め込む大分。両者のスタイルのぶつかり合いが終始続いた一戦となった。札幌は開始早々に先手を取られると、プレスの意識をさらに強化。だが、これで裏のスペースを空けると、次第に藤本らに突かれて2点目を献上する。大分としては狙い通りの、札幌としては勢いに水を差される1点となった。後半も試合の大勢はほぼ変わらず。ホームチームは90分にわたって攻撃に圧力を見せ続けただけに、悔しい敗戦となった。
8,1,1,4-1,Nah
9,1,0,0-1,両チームともに締まったプレーを見せ、緊張感のある固い内容の試合となる。ホームのC大阪は連係でペナルティエリアへの進入を試みる札幌の攻撃に耐え、仕掛ける際には前への意識が高い片山や松田を中心に右サイドからの打開を狙う。後半に入ってもなお、一進一退の攻防が続くが、セットプレーから進藤に今季初得点を決められ、苦しい展開になる。その後は収まりの良い都倉に縦パスを入れて攻撃を仕掛け続けるも、タイムアップ。復調のけはいを見せていただけに、痛い敗戦を喫してしまった。
