,results,home,score,match review
0,1,0,2-3,開始直後にさい先良く先制したG大阪だったが、その後は横浜FMの前線3人を捕まえ切れず、速いパス回しに翻弄されてペースを握られる。ボランチ2人も守備に追われたことで攻撃のスイッチを入れられず、前半だけで3失点。後半に入ってからは相手の背後を突こうとするプレーが増えたものの、ハイラインを攻略できずにオフサイドを取られる場面も。終盤には相手にも疲労の色が見え始めてチャンスシーンが増加するが、1点を返すにとどまった。一方の横浜FMは狙い通りの攻撃を披露し、アウェイでの開幕戦を見事に勝利で飾った。
1,1,1,2-1,序盤から、細かくパスをつないで敵陣に押し込む横浜FMと、低く引いて構えつつ長沢に徹底的に放り込む仙台、という構図が続く。ホームチームはPKから先手を取ると、崩しのスピードと流動性がさらに向上。中央で相手の注意を引き付け、その間に別の味方が大外へ開いてフリーでボールを呼び込む、という攻撃の形から何度もチャンスを迎える。この策から2点目を奪った後も三好や仲川を中心に攻め立て、相手に休む暇を与えない。終盤にPKを献上したものの、横浜FMは90分間主導権を握り続けて「得意先」から危なげなく勝点3を得た。
2,2,1,1-1,Nah
3,2,1,2-2,2連勝の勢いそのままに昨季覇者を迎え入れたホームの横浜FM。開始早々にミスから先制を許すも、サイドを起点とした攻撃からチャンスを作り出すと、前半24分にMジュニオールの加入後初得点で同点に追い付く。その後は試合を優勢に進めながら勝ち越しを許す苦しい展開となったが、ラストワンプレーで交代出場の扇原が値千金の同点弾を奪取。開幕からの無敗は継続となった。対する川崎Fは流れの中からゴールが生まれるも、ACLの上海上港戦に続く終盤の失点でまたしても初勝利はお預けとなった。
4,0,0,2-0,Nah
5,0,0,2-0,しっかりとパスをつないで攻撃へと転じるビルドアップが特徴的なチーム同士の対戦。大分は前線からのプレスを受けながらも、相手の高いディフェンスラインの裏を後藤と藤本が狙い続けてチャンスを作る。すると、後半10分に藤本が先制点を挙げ、勢いのままに藤本はトリッキーなシュートを決めて追加点を奪う。その後は相手の怒とうの攻撃を集中力と粘り強さを見せてしのぎ、2－0のまま終了。09年以来となるホーム開催でのJ1勝利を達成した。
6,2,1,0-0,横浜FMは序盤から仲川や三好らを中心に右サイドから攻め込み、今季初出場となった松原の積極的な攻撃参加が良いアクセントとなってゴールへ迫りながら前半を終えた。後半に入っても流れは変わらず。仲川が後半18分に退くも、代わりに入った遠藤が勢いを落とすことなく3トップの攻撃陣が果敢に攻め立てる。だが、最後まで相手の牙城を崩せずに引き分けに終わった。一方の鳥栖は依然として得点力不足に悩む結果に。前節に続いての白星獲得とはならなかった。
7,1,0,0-3,浦和は連係ミスから開始早々に先制点を献上すると、ディフェンスラインの裏を狙う攻撃に終始苦しめられ、何度もチャンスを作られる。しかし、守護神の西川がビッグセーブを連発し、追加点を許さずに前半を終える。ただ、後半もサイドをうまく使われる攻撃に4バックの新布陣では対応できず、流れは変わらない。受け身のまま時間は過ぎ、内容でも結果でも完敗と言える「金J」となってしまった。一方、90分を通してゲームを支配し、三度もネットを揺らした横浜FMはアウェイの浦和戦を3連勝とし、リーグ戦4試合ぶりの勝利を飾った。
8,2,1,2-2,Nah
9,2,1,1-1,両者ともに最後の一手を決められない一戦となってしまった。横浜FMは前半8分にPKで先制されてしまうが、同20分に華麗なカウンターで同点に追い付く。その後も、縦に速い攻撃は試合を通して良く機能し、何度も相手ゴールに襲い掛かる。しかし、最後の局面で精彩を欠いたことと、名古屋の好守もあって逆転弾を奪えなかった。一方、名古屋は度重なるチャンスを決められず、敵地でドロー。守備面では、負傷したランゲラックに代わり、途中出場した武田が好セーブを連発。安定感のあるプレーでチームに大きく貢献した。
10,0,0,3-0,札幌は横浜FMの特殊なビルドアップに対し、ミスを恐れない激しいプレスと縦に速いカウンター攻撃で対抗。これが奏功して前半のうちに3点を奪い、優位にゲームを進める。後半も流れはそのままに、AロペスとLフェルナンデスの力強い突破などで何度もゴールを襲う。守備面でも、前節に続いてクリーンシートを達成し、札幌ドにがい歌を響かせた。一方、横浜FMは相手の策にはまり、早い段階で複数失点。飯倉が再三のピンチを防いだものの、思うような形で攻められず。結果も内容も振るわない厳しい一戦となった。
11,1,1,1-0,Nah
12,1,1,2-1,攻守両面で鹿島を圧倒した横浜FMが鮮やかな逆転勝利を飾った。序盤に先制点を献上し、前節の苦い記憶が脳裏をよぎったのか、全体の動きが重くなる。ボールを支配しながらも、決定機を創出できないもどかしい展開が続いた。そんな停滞ムードを打破したのは仲川だった。左足での見事なコントロールショットで同点ゴールを挙げ、チームを鼓舞。そして、Mジュニオールが豪快に決勝点をたたき込み、「常勝軍団」を沈めた。一方の鹿島は守備陣が最後まで持ちこたえられず。スコア以上の完敗となった。
13,1,0,0-1,広島は球際で負けない堅い守備ブロックを形成し、ショートカウンターで得点を狙う。サイドを効果的に使ったアタックでゴールに何度も襲い掛かるが、前半唯一のシュートチャンスを確実に決められてビハインドで折り返す。後半も状況は変わらずにペースを握るも、何度も訪れる好機を生かせずにそのまま試合終了。内容で上回っていたがゆえに、歯がゆい敗戦となった。対する横浜FMは流れをつかまれた中で思うようなスタイルを披露できなかったものの、仲川が決めたJ1「令和」初ゴールを守り切って手堅く2連勝を達成した。
14,1,0,0-4,Nah
15,0,0,3-0,C大阪は前線からの粘り強いプレッシングで立ち上がりから相手に脅威を与えると、諦めない姿勢が実を結び、水沼のダイナミックなゴールで先行。その後も素早い攻守の切り替えから何度もゴールに襲い掛かり、相手を圧倒する。後半も勢いはとどまらず、アグレッシブかつダイナミックなプレーでゲームを支配。最終的には三度もネットを揺らし、開幕戦から勝てていなかったヤンマーで、勝利を挙げた。対する横浜FMは、「アタッキングフットボール」を封じられ、劣勢に。まさに完敗といえるゲームとなってしまった。
