,results,home,score,match review
0,1,0,1-2,GKを含めて最終ラインからの速攻を狙う大分に対し、サイドに追い込んで効率的にボールを奪う鹿島。攻撃面では細かいパスワークから空いた逆サイドにつないで幾度かチャンスを創出する。守備面では相手の速攻における中盤へのパスはレオシルバが対処したものの、最終ラインの裏を狙ったロングパスの処理がおろそかになってしまった。これで藤本やオナイウに前を向かれ、藤本には先制点と勝ち越し点を許す結果に。次節の相手は高い攻撃力を誇る川崎Fであるだけに、守備面の修正が必要になるだろう。
1,0,1,0-1,戦前の予想通り、ボールの保持率では大分が圧倒。しかし、前線からのプレスに遭ってパスコースは限定され、高い位置に持ち込んでも相手のダブルボランチのケアを受けてほとんど決定機を作れない。後半早々の失点は不運な面も否めないが、前節2ゴールを決めた藤本にパスが入る場面も限られ、不完全燃焼のまま黒星を喫した。対する松本は先制点で永井がこぼれ球に誰よりも早く反応したように、足を止めなかったことが攻守両面で結実。アウェイの地まで駆け付けたサポーターと、約3年半ぶりとなるJ1勝利の味をかみ締めた。
2,1,1,2-1,Nah
3,1,0,1-2,退場者の有無が勝敗を分けることになった。前半、磐田は空いたスペースを突いてくる大分のカウンター攻撃に手を焼くことに。前半13分にそのカウンターから先制されると、同30分にはカウンターを止めようとした大南が藤本を倒してしまい、一発退場。早い時間帯で数的不利になってしまった。一時はアダイウトンがアクロバティックなシュートを決めて同点に追い付き、勢いづくが、後半に入ると大分に両サイドを揺さぶられて失点。その後も1人多い大分がボールを握り、大分優勢の状況を崩せず、タイムアップを迎えた。
4,0,0,2-1,Nah
5,1,1,2-0,しっかりとパスをつないで攻撃へと転じるビルドアップが特徴的なチーム同士の対戦。大分は前線からのプレスを受けながらも、相手の高いディフェンスラインの裏を後藤と藤本が狙い続けてチャンスを作る。すると、後半10分に藤本が先制点を挙げ、勢いのままに藤本はトリッキーなシュートを決めて追加点を奪う。その後は相手の怒とうの攻撃を集中力と粘り強さを見せてしのぎ、2－0のまま終了。09年以来となるホーム開催でのJ1勝利を達成した。
6,0,1,0-1,大分は前線の選手が果敢に裏への抜け出しを狙うが、広島の強固な守備に対して効果的な縦パスを入れられず。一方の守備陣は、ミスからピンチを招く場面もあり、ボールを持ちながらも主導権を握れない展開となる。後半12分に先制点を献上すると、その後は一層守備の意識が強くなった相手のディフェンスを前に、ホームチームは中盤でボールを回し続けて終了の笛を聞くこととなった。一方でアウェイチームは、佐々木を中心に城壁を築き、リーグ戦4試合連続の無失点と好調を維持。Dヴィエイラの加入後初ゴールが値千金の決勝弾となった。
7,1,0,1-2,前からの激しいプレスと多くの味方の攻撃参加でゴールを目指す札幌と、後方からつなぎつつ、有効なスペースを突いて攻め込む大分。両者のスタイルのぶつかり合いが終始続いた一戦となった。札幌は開始早々に先手を取られると、プレスの意識をさらに強化。だが、これで裏のスペースを空けると、次第に藤本らに突かれて2点目を献上する。大分としては狙い通りの、札幌としては勢いに水を差される1点となった。後半も試合の大勢はほぼ変わらず。ホームチームは90分にわたって攻撃に圧力を見せ続けただけに、悔しい敗戦となった。
8,0,0,2-0,Nah
9,1,1,2-0,前半の大分は、相手にコンパクトな陣形を整えられると、ビルドアップに苦慮。ショートカウンターから危ない場面を招くなど、相手の術中にはまってしまう。後半開始直後に岩田が先制点を獲得するも、ペースは変わらず、逆に一段とギアの上がった仙台の猛反撃を受ける。この流れを変えるべく、オナイウを投入すると、前線の選手がボールに絡めるようになり、追加点を奪取。終盤では持ち前の運動量を生かして完封に成功。2連勝で3位に浮上した。一方の仙台は、前半の出来は良かっただけに決定力に泣いた試合となった。
