,results,home,score,match review
0,2,1,1-1,磐田は猛然とボールに迫ってくる松本に序盤から手を焼くことに。早々に直接FKを沈められてビハインドを負うと、反撃どころか自陣で前田やセルジーニョにボールを奪われてたびたびピンチを招く場面も。辛うじて大井ら守備陣が粘って試合を折り返す。後半9分に川又を投入して攻撃のピッチを上げると、川又が同26分に同点弾を奪う。その後も途中出場の荒木やムサエフが中心となって攻めの形こそ作ったが、アウェイチームの粘りと力強さを前に逆転ゴールを奪えず。ホームでの開幕戦を白星で飾れなかった。
1,2,0,0-0,ホーム2連戦となった広島は序盤から磐田の「サイドバックが中に入り、ボールを受ける」という特徴的なビルドアップにうまく対処するも、守勢に回る時間が長くなってしまう。ただ、守備陣はフィニッシュの場面で思うようにさせず、高い集中力を保ちながら堅実なプレーを披露した。一方の攻撃面では縦への意識を高く持ち、パトリックの身体能力の高さを生かして攻め込む。後半は徐々にペースをつかみ、サイドからの攻撃で何度か決定機を作るも、磐田の堅い守りを崩せず、スコアレスドローで決着。強固な守備をともに披露した一戦となった。
2,1,1,1-0,Nah
3,0,1,1-2,退場者の有無が勝敗を分けることになった。前半、磐田は空いたスペースを突いてくる大分のカウンター攻撃に手を焼くことに。前半13分にそのカウンターから先制されると、同30分にはカウンターを止めようとした大南が藤本を倒してしまい、一発退場。早い時間帯で数的不利になってしまった。一時はアダイウトンがアクロバティックなシュートを決めて同点に追い付き、勢いづくが、後半に入ると大分に両サイドを揺さぶられて失点。その後も1人多い大分がボールを握り、大分優勢の状況を崩せず、タイムアップを迎えた。
4,0,0,1-0,Nah
5,0,0,1-0,勝点3を渇望する両者の対決は劇的な幕切れが待っていた。序盤から攻守の切り替えを徹底し、前半をスコアレスで終えた鳥栖。だが、後半開始直後にFトーレスが負傷交代を余儀なくされ、さらにその後には2試合連続となる退場者を出してしまう。劣勢に立たされたものの、ホームチームはサポーターの声援を受け、決して集中を切らさずに相手に押し込まれる時間帯を耐えしのいだ。すると、途中投入されたIクエンカが終了間際に値千金のヘディングシュートをたたき込んで試合終了。待望の今季初勝利に駅スタは歓喜に沸いた。
6,2,1,1-1,不調に陥る磐田はホームでまたしても勝利を逃した。前半から高い集中力で球際に競り勝ち、相手を押し込む形を創出するが、肝心なフィニッシュの場面でミスが目立ち、得点力不足の影が顔をのぞかせ始める。それでも、後半立ち上がりに松本がこん身の一撃。サポーターの雰囲気は最高潮に達し、勝利への期待が一気に高まる。しかし、鹿島の圧力に押されて次第にセカンドボールが拾えなくなり、防戦一方の展開に。完璧な崩しから守備網を破られ、同点とされてタイムアップ。長いトンネルを抜け出すには、まだまだ時間がかかりそうだ。
7,1,0,0-2,湘南の公式戦の連勝は3で止まった。試合を通して主導権を握る時間は短く、コンパクトな陣形の裏を突かれて相手のカウンターを受け、フィニッシュまで持ち込まれる。豊富な運動量を駆使して水際で失点を防いでいたものの、後半27分に大久保と松本に左サイドを攻略されて先制点を献上。試合終了間際にはFKの好機をしのがれ、GKのロングフィード1本からロドリゲスに加入後初ゴールを決められた。一方の磐田は、待望の今季リーグ戦初勝利。集中力を切らさずに素早い攻守の切り替えを見せ、結果に結び付けた。
8,1,0,1-3,Nah
9,0,1,1-2,サックスブルーのホームチームはサポーターを喜ばせることはできなかった。磐田は前半、相手の攻撃陣のパスワークや2トップの一角に入った鄭大世の高さに苦しみ、守備に追われる時間が長くなる。その鄭大世に先制点を決められて試合を折り返すと、後半13分にもミスからボールを奪われ、追加点を献上。その後は途中出場のロドリゲスの強さやエレンのハードワークが機能して1点差まで迫るも、反撃はここまで。公式戦3連勝とはならなかった。対する清水は「静岡ダービー」を制し、うれしいリーグ戦今季初勝利を挙げた。
