,results,home,score,match review
0,2,0,1-1,磐田は猛然とボールに迫ってくる松本に序盤から手を焼くことに。早々に直接FKを沈められてビハインドを負うと、反撃どころか自陣で前田やセルジーニョにボールを奪われてたびたびピンチを招く場面も。辛うじて大井ら守備陣が粘って試合を折り返す。後半9分に川又を投入して攻撃のピッチを上げると、川又が同26分に同点弾を奪う。その後も途中出場の荒木やムサエフが中心となって攻めの形こそ作ったが、アウェイチームの粘りと力強さを前に逆転ゴールを奪えず。ホームでの開幕戦を白星で飾れなかった。
1,1,0,0-1,戦前の予想通り、ボールの保持率では大分が圧倒。しかし、前線からのプレスに遭ってパスコースは限定され、高い位置に持ち込んでも相手のダブルボランチのケアを受けてほとんど決定機を作れない。後半早々の失点は不運な面も否めないが、前節2ゴールを決めた藤本にパスが入る場面も限られ、不完全燃焼のまま黒星を喫した。対する松本は先制点で永井がこぼれ球に誰よりも早く反応したように、足を止めなかったことが攻守両面で結実。アウェイの地まで駆け付けたサポーターと、約3年半ぶりとなるJ1勝利の味をかみ締めた。
2,1,1,2-1,Nah
3,0,1,0-1,4季ぶりにJ1開催となった「アルウィン」での一戦は、ホームチームに多くの課題と収穫を与えた。序盤から素早い切り替えと積極的なプレッシングを見せ、相手に決定機を作らせない。後半も、勢いは衰えずに主導権を握るも、一瞬の隙からPKを献上し、後半27分に失点。終盤、反撃を見せるも、阿部や鈴木の投入で守備を固めた相手の守備陣を崩せずに今季初黒星を喫した。一方の浦和は、本調子とは程遠いパフォーマンスでありながらも、しぶとく戦って「勝点3」を奪取。上位進出に向けて勝負強さに自信を付けた。
4,0,0,2-1,Nah
5,0,0,1-0,松本をEスタに迎えた広島が、攻守において試合を支配した。守備では、吉野を中心としたディフェンスラインで松本の「スピードスター」前田を抑え込む。一方の攻撃では、柏とEサロモンソンのサイド攻撃を軸にチャンスを創出。前半で得点を奪えなかったものの、後半に歓喜の時が訪れた。後半16分に柏がペナルティエリア手前でDFに囲まれながらも、狙い澄ましたシュートを決めて先制に成功。その後も主導権を手放さず、終了間際のパワープレーもしのいで勝点3をゲット。同時にJ1ホーム通算200勝を達成した。
6,0,1,0-2,松本は試合を通して圧倒された。開幕からの不動のスタメンを4名入れ替えて臨んだ一戦となったが、相手のテンポの良いパス回しに振り回されて後手を踏み、自陣に押さえ込まれてしまう。前線からのプレスも冷静にかわされ、効果が生まれずにいると、時間とともに消極的な姿勢があらわに。カウンターでペナルティエリアに近づける回数は少なく、選手交代でも状況は好転しなかった。対して川崎Fは、待望のリーグ戦初勝利。ボールを支配し、主導権を握り続ける理想通りの試合運びを披露した。
7,1,1,2-1,松本が今季のホーム初勝利を挙げるとともに、連敗を3でストップした。松本は連動した守備と縦に速い攻撃で開始からリズムをつかむと、セットプレーから2点を先行する。後半は神戸の勢いに押される展開となり、高さのあるウェリントンをターゲットにしたサイド攻撃に苦しめられ、1点を返されてしまう。その後も流れは変わらなかったが、3バックを中心とする守備陣が踏ん張り、リードを守り切った。一方、神戸は反撃が及ばず、開幕戦以来の敗北を喫した。
8,0,1,1-3,Nah
9,2,0,1-1,序盤から攻守が目まぐるしく入れ替わる展開の中、最初に主導権を握ったのは湘南だった。素早い出足でセカンドボールを精力的に回収し、杉岡や鈴木冬の果敢な攻撃参加で相手のディフェンスラインに揺さぶりを掛ける。前半は松本の中央に人数を掛ける堅固な守備ブロックに手を焼くものの、後半6分には待望の先制弾を奪取。しかし、次第に運動量が衰えを見せ始めると、同38分には同点弾を決められて振り出しに。その後はロングボールの応酬となったが、得点は生まれず、痛い引き分けとなった。
10,1,1,1-0,シンプルな裏への攻撃を仕掛けるホームの松本。リーグ屈指の瞬発力を持つ前田が裏へのパスに競り勝ち、さい先よく初得点を挙げると、その後も組織力を生かして効果的なカウンターを狙う。前線にタレントがそろった鳥栖に対し、守備にまわることが多くなった後半だが、飯田を中心にクロスをはね返し続け、勝点を二桁に乗せる3勝目を挙げた。一方、アウェイの鳥栖はクロスに加えてカウンターから決定機を創出するものの、最後の場面で精度を欠いて得点を奪えず。今季1得点にとどまる得点力不足に悩まされ、最下位から抜け出せなかった。
11,2,0,2-2,Nah
12,0,0,2-0,FC東京は序盤からコンパクトな守備ブロックを形成する松本に対し、ボールを保持する時間が続く。この展開の中で輝きを放ったのは久保建だ。巧みなボールタッチで相手を翻弄し続け、前半終了間際には永井の先制ゴールを演出。後半に入っても、相手の間を縫うようなドリブル突破から惜しいシュートを放つなど、さえ渡ったプレーを継続。後半32分にDオリヴェイラが決めたPKを獲得したのも、彼だった。2点のリードを奪ったFC東京は危なげなくゲームを終わらせ、今季ホームでリーグ戦全勝中。首位の座をキープした。
13,0,1,0-2,ホームの松本は、令和最初の試合で満員のサンアルに歓喜をもたらすことはできなかった。立ち上がりから相手に押し込まれると、前半21分にBメンデスに先制点を奪われ、試合を折り返す。後半は、敵陣深くまで攻め込み、セットプレーを多く獲得するも、精度を欠いて決定機を作れず。逆に、奥埜に追加点を許し、勝負を決められた。一方のC大阪は、J1リーグ戦でデビューを果たした瀬古の活躍などもあり、5試合ぶりに勝点3を獲得した。
14,0,0,1-0,Nah
15,2,1,0-0,松本が立ち上がりから積極的な姿勢を見せ、優位にゲームを進める。カウンターを仕掛けた時に生まれる中盤のスペースを効果的に突いて幾度か決定機を作るも、決め切れない。すると、後半は札幌の細かいパスワークに手を焼く展開に。クロスやミドルシュートを浴びながらも、空中戦に強い飯田らがはね返し続ける。前田らがカウンターを仕掛けることで辛うじて相手に食らい付くも、フィニッシュの精度を欠いて無得点。クリーンシートで終えて連敗を2でストップしたが、決定力に課題を残す結果となった。
16,0,0,5-0,鹿島が完璧にゲームをコントロールし、文字通りの完勝を収めた。相手は守備を低い位置に設定し、待ち構える形を採用するが、鹿島はこれにつけ込み、自由に回して攻撃を仕掛ける。失っても切り替えの早さを見せ、すぐさま奪い返すことで一方的な展開に。最後まで隙を見せることなく圧倒し、5－0で終了の笛を迎えた。敗れた松本は相手のプレスにさらされて集中力が低下したのか、ビルドアップでのミスが続出。巧みな連係で崩され、なすすべなく大量失点を喫してしまう。攻め手も見つからず、4試合連続無得点に終わった。
