,results,home,score,match review
0,0,1,0-4,鳥栖は終始、名古屋のポゼッションに対してリトリートでしのぐゲーム展開となる。立ち上がりからややファウルが多いものの、球際で強さを発揮し、最終ラインでしっかりとブロックを構築することでシャットアウト。攻撃に転じればFトーレスを中心に何度かチャンスを作った。後半もこの流れのままゲームを進めていたが、ジョーに一瞬の隙を突かれて失点を喫すると、ここから牙城が崩される。名古屋のテンポの良い攻撃に対し、バラバラに乱れた守備では対応できず、最終的には4失点。ルイスカレーラス新体制の船出は厳しいものとなった。
1,0,0,1-0,「脅威的なDF」が来日した。加入後即スタメン出場を飾ったダンクレーは効果的なフィードを供給し、何度もチャンスを演出。神戸が掲げるポゼッションサッカーに最適であることをアピールする。また、守備面でもFトーレスらを封殺するなど躍動した。そして、注目の一戦の勝敗を決めたのはダビドビジャ。ワンチャンスを確実に決めてスターの片りんを見せつけた。Aイニエスタは観客を沸かせるさすがのテクニックを幾度も披露。スター軍団の躍進が期待されるゲームとなった。一方の鳥栖は2連敗。攻撃陣の奮起が待たれる。
2,0,1,1-3,Nah
3,0,0,2-0,FC東京がホーム開幕戦を終盤の猛攻で制した。序盤から素早い攻守の切り替えで主導権を握りかけたが、永井の負傷交代後は動きが停滞。鳥栖のロングスローに手を焼きながらも、決定力不足に助けられてスコアレスで折り返す。後半は数的優位に立ちながらも攻めあぐねたが、終了間際にDオリヴェイラ、ジャエルの圧力を生かして2点を奪取。粘る相手から強引に勝利をもぎ取った。対する鳥栖はまたしても無得点でリーグ戦3連敗。Iクエンカの投入で流れをつかもうとしたが、直後に退場者を出した点が悔やまれる結果となった。
4,1,0,0-1,Nah
5,1,1,1-0,勝点3を渇望する両者の対決は劇的な幕切れが待っていた。序盤から攻守の切り替えを徹底し、前半をスコアレスで終えた鳥栖。だが、後半開始直後にFトーレスが負傷交代を余儀なくされ、さらにその後には2試合連続となる退場者を出してしまう。劣勢に立たされたものの、ホームチームはサポーターの声援を受け、決して集中を切らさずに相手に押し込まれる時間帯を耐えしのいだ。すると、途中投入されたIクエンカが終了間際に値千金のヘディングシュートをたたき込んで試合終了。待望の今季初勝利に駅スタは歓喜に沸いた。
6,2,0,0-0,横浜FMは序盤から仲川や三好らを中心に右サイドから攻め込み、今季初出場となった松原の積極的な攻撃参加が良いアクセントとなってゴールへ迫りながら前半を終えた。後半に入っても流れは変わらず。仲川が後半18分に退くも、代わりに入った遠藤が勢いを落とすことなく3トップの攻撃陣が果敢に攻め立てる。だが、最後まで相手の牙城を崩せずに引き分けに終わった。一方の鳥栖は依然として得点力不足に悩む結果に。前節に続いての白星獲得とはならなかった。
7,0,0,3-0,横浜FMから加入した若武者がユアスタに今季初めての歓喜をもたらした。2戦連続の先発出場を果たした吉尾は、序盤から積極的な姿勢で攻撃に関与する。まず、輝きを放ったのは前半15分。巧みな動き出しで味方からのパスを引き出すと、右サイドから左足で正確なクロスを蹴り込み、ジャーメインの先制点をお膳立て。豊富な運動量でピッチを駆け回るレフティーは、後半9分にも得点に絡む。相手のパスミスに反応してシュートを放ち、ポストの跳ね返りを兵藤が押し込んでリードを広げた。日進月歩の成長を見せる吉尾の今後の活躍に注目だ。
8,0,0,1-0,Nah
9,0,1,0-1,前半は鳥栖が主導権を握って優位に進める。相手にボールが渡ると、ラインを高く設定し、隙の少ないコンパクトなブロックを構築。的確なタイミングで前線からプレスを掛け、川崎Fが得意とするパスワークを封じる。攻勢に転じると、金崎を中心とした攻撃陣は果敢に仕掛けて好機を創出した。しかし、後半6分に先制を許すと、緩急を駆使してペースを落とす相手の術中にはまって時計の針を進められる。攻撃的な選手を投入するも、状況は好転せずにタイムアップ。今季6試合目となる無得点試合で敗戦を喫した。
10,0,0,1-0,シンプルな裏への攻撃を仕掛けるホームの松本。リーグ屈指の瞬発力を持つ前田が裏へのパスに競り勝ち、さい先よく初得点を挙げると、その後も組織力を生かして効果的なカウンターを狙う。前線にタレントがそろった鳥栖に対し、守備にまわることが多くなった後半だが、飯田を中心にクロスをはね返し続け、勝点を二桁に乗せる3勝目を挙げた。一方、アウェイの鳥栖はクロスに加えてカウンターから決定機を創出するものの、最後の場面で精度を欠いて得点を奪えず。今季1得点にとどまる得点力不足に悩まされ、最下位から抜け出せなかった。
11,2,0,1-1,Nah
12,0,1,0-2,鳥栖は直近のルヴァンカップで先発した10人のフィールドプレーヤーを中3日で起用。開始直後に藤田が交代を余儀なくされるも、自陣ゴール前では粘り強い守備を披露し、攻撃に転じると果敢な仕掛けで好機を演出。特に、安庸佑は右サイドで幾度も見せ場を作った。後半14分に先制を許すが、球際への厳しさは変えずに攻防を繰り広げる。しかし、最後までチャンスを生かし切れずに敗戦を喫した。一方、湘南は秋元とフレイレを中心とする守備陣が奮闘。「令和」時代を目前に控えた週末に「零封」を達成した。
13,0,0,2-0,まさに「完勝」。シンプルなパス回しと鋭いセカンドボールの反応で試合を支配した大分が不調に苦しむ鳥栖を沈めた。前半はボールを持つものの、決定機を創出できないもどかしい展開だったが、後半に入るとパステンポを上げて相手を完全に圧倒。後半開始早々にオナイウが今季3点目をたたき込むと、同15分には小塚の移籍後初ゴールが生まれて相手を突き放す。選手交代で中盤を厚くすると、手堅く逃げ切った。2万人を超える大観衆の前で完封勝利。これで昇格組ながら3位に浮上し、大分旋風はまだまだ止まらない。
14,2,1,0-0,Nah
15,1,1,3-1,金明輝体制で生まれ変わった鳥栖は、立ち上がりから積極性を前面に押し出す。豊田と金崎はシュートへの意識を高く持ち、Iクエンカは左サイドで高い位置を取る。すると、セットプレーからIクエンカが個人として、またチームとしての今季2得点目を挙げて先制。後半は運動量の落ちたG大阪を尻目に攻め続け、後半27分と同45分に追加点を奪う。競り合いでもひるまずに戦ったチームは、ついに長いトンネルの出口にたどり着いた。対してG大阪は食野亮のJ1リーグ戦初得点で一矢報いたものの、リーグ戦7試合勝利なしとなった。
16,1,0,0-1,広島は序盤からピッチを広く使って相手を左右に揺さぶり、クロスを中心とした攻撃でゴールへ迫る。切れ味抜群のカットインを披露した柏はDFを翻弄。数々のチャンスを作り出した。ただ、ラストプレーの精度を欠いて得点は奪えず。終盤には不運な形でゴールを割られてしまい、苦杯を喫する結果となった。一方の鳥栖は、相手攻撃陣のトリッキーなプレーの対応に苦慮するも、最後まで得点は許さず。粘り強い戦いで今季初の連勝を達成した。
