,results,home,score,match review
0,2,1,0-0,互いに不完全燃焼のまま90分を終えた。仙台は右サイドを主軸に据えて攻め込む。蜂須賀とハモンロペスは敵陣で多くボールに触れ、長沢のフィニッシュシーンを演出するが、攻め上がる回数が少ないこともあってネットを揺らすまでには至らない。逆に相手のパスワークに振り回され、守備に追われる時間を長く過ごす展開に。それでも、集中力を切らさずに体を張り続け、無失点を達成したことは収穫か。一方、浦和はボールこそ運べるものの、枠をとらえる強いシュートは数少なく、いまだに「調整段階」であることを印象づける結果となった。
1,0,0,2-1,序盤から、細かくパスをつないで敵陣に押し込む横浜FMと、低く引いて構えつつ長沢に徹底的に放り込む仙台、という構図が続く。ホームチームはPKから先手を取ると、崩しのスピードと流動性がさらに向上。中央で相手の注意を引き付け、その間に別の味方が大外へ開いてフリーでボールを呼び込む、という攻撃の形から何度もチャンスを迎える。この策から2点目を奪った後も三好や仲川を中心に攻め立て、相手に休む暇を与えない。終盤にPKを献上したものの、横浜FMは90分間主導権を握り続けて「得意先」から危なげなく勝点3を得た。
2,1,0,1-3,Nah
3,0,1,1-3,「特別な一戦で勝利を」という大きな決意を胸に臨んだホームの仙台。手数を掛けない高速カウンターで何度もゴールに迫り、リードを奪った立ち上がりの試合運びにその強い意気込みを感じたサポーターも多いだろう。だが、前半のうちに追い付かれ、さらに後半早々に出はなをくじかれた後は中盤で安易なミスを連発。手渡されたチャンスを「VIPトリオ」が逃すはずもなく、結果的に3失点を喫して敗戦。石原崇や吉尾ら新加入選手が存在感を発揮した点は収穫だが、守備面で大きな課題を残し、リーグ戦初白星は次節以降に持ち越しとなった。
4,1,1,2-1,Nah
5,0,0,2-1,主力を大幅に欠いた湘南だが、実戦経験の少ない若手も伸び伸びとプレーし、違和感なくいつもの「湘南スタイル」を披露。また、相手が終盤まで足が止まっていたため、「急造メンバー」ながら敵陣に押し込み続けて終始主導権を握る。流れの中でDF2人に生まれたゴールも、決して偶然の産物ではないだろう。チームとしての総合力の高さを示した。終盤は選手交代で攻撃の形をつかんだ仙台の波状攻撃を受けるが、堅実な守備に徹して2－1で終了。一方の仙台は終盤を迎えるまでほとんど相手に脅威を与えられず。最下位となってしまった。
6,0,1,0-2,3連敗中のチーム同士の対戦は戦術の浸透度が勝負を決めた。開始直後こそ前線の3枚が掛けるプレッシングがはまった仙台だったが、徐々に相手の優れたパスワークに対して後手に回るようになり、中盤を制圧されてしまう。後半からは2シャドーのハモンロペスと吉尾のポジションを左右で入れ替えたが、コンビネーションプレーはあまり見られなかった。一方のC大阪は時間がたつにつれて選手の距離感が良くなり、奥埜とソウザが攻守に渡って奮闘。また、今季初出場の田中にゴールが生まれ、雪が降りしきるユアスタで快勝を収めた。
7,1,1,3-0,横浜FMから加入した若武者がユアスタに今季初めての歓喜をもたらした。2戦連続の先発出場を果たした吉尾は、序盤から積極的な姿勢で攻撃に関与する。まず、輝きを放ったのは前半15分。巧みな動き出しで味方からのパスを引き出すと、右サイドから左足で正確なクロスを蹴り込み、ジャーメインの先制点をお膳立て。豊富な運動量でピッチを駆け回るレフティーは、後半9分にも得点に絡む。相手のパスミスに反応してシュートを放ち、ポストの跳ね返りを兵藤が押し込んでリードを広げた。日進月歩の成長を見せる吉尾の今後の活躍に注目だ。
8,1,1,2-1,Nah
9,0,0,2-0,前半の大分は、相手にコンパクトな陣形を整えられると、ビルドアップに苦慮。ショートカウンターから危ない場面を招くなど、相手の術中にはまってしまう。後半開始直後に岩田が先制点を獲得するも、ペースは変わらず、逆に一段とギアの上がった仙台の猛反撃を受ける。この流れを変えるべく、オナイウを投入すると、前線の選手がボールに絡めるようになり、追加点を奪取。終盤では持ち前の運動量を生かして完封に成功。2連勝で3位に浮上した。一方の仙台は、前半の出来は良かっただけに決定力に泣いた試合となった。
