,results,home,score,match review
0,2,0,0-0,鬼木監督のもとで3連覇を見据える「蒼黒」と、長谷川体制2年目にさらなる飛躍を期す「青赤」。ともにブラッシュアップしたスタイルを披露した結果、ポゼッションを保つ川崎Fに対してFC東京がカウンターを狙うという構図が90分を通して続く一戦に。その中でも、前半はコンパクトネスを保ったFC東京が、後半は縦パスでの崩しを増やした川崎Fが試合を優位に進める。久保の美しいFKや中村の林との1対1など、惜しい場面こそみられたものの、最後まで得点は生まれず。火花散る「カイマクラシコ」は、ドロー決着となった。
1,1,0,2-3,ホーム開幕2連勝を目指す湘南はセットプレーから先制に成功するも、その後はカウンターで猛威を振るうFC東京の勢いに押し込まれる。一気に中盤を制圧され、ミスにも付け込まれて2点のビハインドを負う苦しい展開に。それでも、後半10分に武富の2試合連続ゴールで息を吹き返すと、ここから流れは湘南に傾く。ピッチの幅を広く使って攻め立て、終盤は途中出場の指宿をターゲットにロングボールも放り込みつつ同点を目指す。だが、ホイッスル直前のビッグチャンスを逸して万事休す。相性の悪い相手との乱打戦を落とした。
2,0,0,2-1,Nah
3,1,1,2-0,FC東京がホーム開幕戦を終盤の猛攻で制した。序盤から素早い攻守の切り替えで主導権を握りかけたが、永井の負傷交代後は動きが停滞。鳥栖のロングスローに手を焼きながらも、決定力不足に助けられてスコアレスで折り返す。後半は数的優位に立ちながらも攻めあぐねたが、終了間際にDオリヴェイラ、ジャエルの圧力を生かして2点を奪取。粘る相手から強引に勝利をもぎ取った。対する鳥栖はまたしても無得点でリーグ戦3連敗。Iクエンカの投入で流れをつかもうとしたが、直後に退場者を出した点が悔やまれる結果となった。
4,0,0,2-1,Nah
5,1,1,1-0,開幕3連勝と波に乗る名古屋をホームに迎えたFC東京。攻撃時には永井が再三裏へ走り込んで相手のビルドアッパーを低い位置へ引き連れ、失敗に終わっても東や高萩が素早く立ちふさがってパスコースを消す。それでも突破されれば、すぐに低くブロックを組んでその外で「持たせる」展開に持ち込む。また、単独突破を得意とする選手を投入された後半は、同じく途中投入の大森らがしつこく食らい付くなど、相手の攻撃プランを極限まで無効化。こうして柔軟な対応を見せたFC東京が永井の古巣への恩返し弾を守り切り、大一番を見事に飾った。
6,2,0,1-1,浦和は敵陣でボールを回し、チャンスを作ろうとするが、自陣に全員が戻り、コンパクトな守備を披露するFC東京を攻略できない状況に苦心。好機が生まれず、堅いゲームが続いたが、後半30分にわずかなチャンスを生かしたアウェイチームの華麗なカウンター攻撃で得点を許してしまう。失点後もボールを保持するが、決定機を作れないジレンマに陥る。それでも、ラストプレーで山中の鋭いクロスに反応した森脇が冷静に押し込み、土壇場で同点弾を奪取。埼玉で04年から負けていない相性の良い相手から勝点1をもぎ取ることに成功した。
7,1,1,2-1,「青赤」の勢いが止まらない。FC東京は前半から水際で粘る清水に屈する時間が続くと、後半早々に北川に先制点を奪われてしまう。ピッチには不穏な空気が流れたが、途中から出場した2人の新加入アタッカーがこのムードを払拭。ナサンホはJリーグ初ゴールを挙げ、ジャエルは絶妙なラストパスでDオリヴェイラの逆転弾を演出する。ここ一番で勝負強さを発揮し、ホーム3連勝を達成した。一方、敗れた清水も無敗のFC東京と遜色ない出来だったことは確か。だが、渇望する今季初白星を手にするには、最後の精度がわずかに足りなかった。
8,1,1,1-0,Nah
9,1,1,3-1,前半はFC東京のスタイルが見事に鹿島DF陣を崩壊させた。序盤から永井とDオリヴェイラのプレスや久保建の並はずれたテクニックでアウェイチームを翻弄。相手の動揺を誘い、前半29分までに流れの中から3ゴールを奪う。しかし、後半10分に1点を返されると、その後は防戦一方の試合運びに。試合終了まで劣勢を強いられたが、ここで運動量を落とさず徹底したプレッシングで粘り切った。上位対決を制し、開幕から7試合負けなしと好調をキープ。次節の天王山に向けて弾みがつく白星となった。
10,1,0,0-1,1位の広島はピッチの横幅を広く使ってゲームを展開するのに対し、2位のFC東京はコンパクトさを保って中盤での強度を維持しつつ、シンプルに2トップへとボールを送る攻撃を披露。まるでパズルゲームのようなつばぜり合いが続く中、後半26分に一瞬の隙を突かれ、広島はビハインドを負うことに。一方、先行したFC東京は放り込みを中止して逃げ切りに専念。終了間際には渡が強烈なボレーシュートを放つも、今夜は数センチの誤差でポストにはじかれ、前節の再現はならず。広島は0－1で今季初黒星を喫し、順位が入れ替わった。
11,1,1,2-0,Nah
12,1,1,2-0,FC東京は序盤からコンパクトな守備ブロックを形成する松本に対し、ボールを保持する時間が続く。この展開の中で輝きを放ったのは久保建だ。巧みなボールタッチで相手を翻弄し続け、前半終了間際には永井の先制ゴールを演出。後半に入っても、相手の間を縫うようなドリブル突破から惜しいシュートを放つなど、さえ渡ったプレーを継続。後半32分にDオリヴェイラが決めたPKを獲得したのも、彼だった。2点のリードを奪ったFC東京は危なげなくゲームを終わらせ、今季ホームでリーグ戦全勝中。首位の座をキープした。
