,results,home,score,match review
0,1,0,4-1,Nah
1,0,1,1-2,GKを含めて最終ラインからの速攻を狙う大分に対し、サイドに追い込んで効率的にボールを奪う鹿島。攻撃面では細かいパスワークから空いた逆サイドにつないで幾度かチャンスを創出する。守備面では相手の速攻における中盤へのパスはレオシルバが対処したものの、最終ラインの裏を狙ったロングパスの処理がおろそかになってしまった。これで藤本やオナイウに前を向かれ、藤本には先制点と勝ち越し点を許す結果に。次節の相手は高い攻撃力を誇る川崎Fであるだけに、守備面の修正が必要になるだろう。
2,2,0,1-1,前半は川崎Fが主導権を握る。パスを細かくつないでボールを保持し、サイド、中央を問わずに好機を創出。特に、加入後初スタメンの馬渡は右サイドで多くのチャンスに関与し、スムーズな連係を披露した。両者1点を奪い合って後半に入ると、相手のカウンターでボールを自陣深くに持ち込まれる場面が増加。チョンソンリョンの冷静な対応とDF陣の踏ん張りでしのぐと、終了間際に決定機が訪れる。しかし、知念のシュートはクォンスンテの好守に阻まれてしまう。ともに目指したリーグ戦初勝利は、次節以降へ持ち越される結果となった。
3,1,0,2-1,Nah
4,1,1,1-0,序盤から両者とも守備の強度が高く、五分五分の攻防が続く。だが、前半の終了間際に湘南が退場者を出したことで状況は一変。鹿島が相手を押し込んでボールを回し続ける一方的な展開となる。すると、後半13分に相手を揺さぶって待望の先制点を奪う。その後はカウンターに警戒しながら幅を使って攻め込み、最後のパワープレーはシャットアウト。今季初のクリーンシートでリーグ戦初勝利を達成した。対する湘南は右サイドが機能していただけに、岡本の退場は痛恨。1人少ない状況でも懸命に走り続けたが、2連敗となってしまった。
5,2,0,2-2,Nah
6,1,0,1-3,清水戦では、鈴木とAロペスの前線2人で5得点を奪った札幌だが、今節の相手は11試合連続勝ちなしと相性の悪い鹿島。積極的な攻撃を展開するが、「試合巧者な鹿島」に2点リードを許し、試合を折り返す。後半開始から徐々に攻撃のリズムを取り戻し、押し込む時間帯が続くも、レアンドロに3点目を奪われてしまう。後半40分にAロペスの2試合連続ゴールで1点を返すが、反撃もここまで。今回も苦汁をなめさせられる結果となった。
7,2,0,1-1,不調に陥る磐田はホームでまたしても勝利を逃した。前半から高い集中力で球際に競り勝ち、相手を押し込む形を創出するが、肝心なフィニッシュの場面でミスが目立ち、得点力不足の影が顔をのぞかせ始める。それでも、後半立ち上がりに松本がこん身の一撃。サポーターの雰囲気は最高潮に達し、勝利への期待が一気に高まる。しかし、鹿島の圧力に押されて次第にセカンドボールが拾えなくなり、防戦一方の展開に。完璧な崩しから守備網を破られ、同点とされてタイムアップ。長いトンネルを抜け出すには、まだまだ時間がかかりそうだ。
8,1,1,2-1,ホームの鹿島は、序盤から名古屋にサイドを突かれて主導権を握られる苦しい展開に。無失点で試合を折り返すも、後半開始早々に先制点を献上。その後も局面を打開できずにいたが、選手交代を機に前線の動きが活性化する。後半27分に途中出場の安部が起点となって同点に追い付き、9分後にはレオシルバが力技で逆転弾をもぎ取る。劣勢をわずかなチャンスではね返し、勝負強さを見せる結果となった。一方の名古屋は、ビハインドを背負ってから前線に枚数をかけて反撃に出るも、流れを引き戻すことはできず。敵地で痛い敗戦となった。
9,1,0,2-3,Nah
10,0,0,3-1,前半はFC東京のスタイルが見事に鹿島DF陣を崩壊させた。序盤から永井とDオリヴェイラのプレスや久保建の並はずれたテクニックでアウェイチームを翻弄。相手の動揺を誘い、前半29分までに流れの中から3ゴールを奪う。しかし、後半10分に1点を返されると、その後は防戦一方の試合運びに。試合終了まで劣勢を強いられたが、ここで運動量を落とさず徹底したプレッシングで粘り切った。上位対決を制し、開幕から7試合負けなしと好調をキープ。次節の天王山に向けて弾みがつく白星となった。
11,1,1,1-0,鹿島は相手の素早いサイド攻撃に序盤から手を焼き、幸運にも救われながらしのぐ展開に。攻撃陣は左サイドの安部と安西を中心にチャンスを作り出すが、ゴール前の決定力を欠いてしまう。スコアレスで後半を迎えると、後半21分にCKから犬飼が貴重な先制点を挙げる。その後は前線に圧力をかけてくる仙台に対し、豊富な運動量を保って逃げ切りに成功。前節に課題となった守備を修正し、ホームで貴重な勝点3を奪った。一方の仙台はビハインドを負ってから思うような攻撃を見せられず、2連敗。自動降格圏内からの脱出はならなかった。
12,0,1,0-1,Nah
