,results,home,score,match review
0,2,0,1-1,1－1の引き分けに終わった一戦は、開幕節にふさわしい好ゲームとなった。先制点を奪ったのは、アウェイの清水だ。前半30分に新加入の中村、金子とのコンビネーションから北川がゴールを決め、「1トップ2シャドー」がいきなり結果を残す。一方、前半こそ苦しんだ広島であったが、後半10分にパトリックを投入すると、流れが一変。同12分、パトリックを狙ったクロスが起点となり、新加入のEサロモンソンが同点弾を奪う。両チームともに新加入選手が得点に関わり、新たなピースが大きく貢献したゲームとなった。
1,0,1,2-4,前半の清水はボールこそ持たれたものの、要所では人数を掛けた守備で相手を自由にさせず、2トップの北川と中村が絡んだカウンターアタックで見せ場を作った。しかし、後半に入ると、相手に押し戻された状態からのビルドアップを狙われ、ボールロストが目立ち始める。逆転を許した後は完全にペースを握られてしまい、守備陣は落ち着きを取り戻せないまま「サンドバッグ状態」に。うまくゲームをコントロールできずに4失点で大敗を喫した。一方のG大阪は相手の出方に合わせて速攻と遅攻を使い分け、今季初白星を飾った。
2,0,0,2-1,Nah
3,0,0,5-2,前節にアウェイで今季初勝利を飾り、ホーム開幕戦を迎えた札幌。守備時には全員が自陣に戻ってボールを奪取し、攻撃ではAロペスを中心に左右にボールを展開。試合を優位に進め、1点リードで折り返す。後半は開始直後から前がかりになった清水に対し、今度はカウンター攻撃で応戦。これで勢いはさらに増し、素早い攻撃から何度もゴールへと迫る。終わってみればAロペスの連続追撃弾で大量5得点を挙げての白星を飾った。一方の清水は、開幕からの3戦で10失点を喫しており、守備の改善が求められる。
4,1,1,1-0,Nah
5,2,0,1-1,3連勝を目指す神戸はホームに今季リーグ戦未勝利の17位清水を迎えた。神戸は前半、主導権を握るものの、清水の激しいプレスの前に効果的な攻撃を繰り出せない。だが、後半は「VIPトリオ」を中心として幾度かチャンスを創出。すると、後半4分にライン際で粘ったAイニエスタのクロスにDFの処理ミスを見逃さなかったLポドルスキがゴールを決め、「四股踏みパフォーマンス」を披露し、観客を沸かした。しかし、試合終了間際に一瞬の隙を突かれて同点にされる。勝利を手中に収めていただけに、神戸にとっては悔しい結果となった。
6,0,1,1-3,苦しい船出となっている清水はまたしても今季初勝利を逃すこととなった。前半は運動量を武器とする湘南にも引けを取らないプレスでセカンドボールを回収。北川を中心に流動的な攻撃でチャンスを創出する。だが、ここで勝ち越しを許すのが長いトンネルの原因か。CKから2点を奪われて前半を折り返す。後半には待望の復帰を果たしたドウグラスとU－20日本代表の滝を投入し、攻勢をかける。しかし、時間が深まるにつれて足が止まり始めると、松田に豪快な一撃を決められて勝負あり。ホームサポーターの前で苦杯をなめる結果となった。
7,0,0,2-1,「青赤」の勢いが止まらない。FC東京は前半から水際で粘る清水に屈する時間が続くと、後半早々に北川に先制点を奪われてしまう。ピッチには不穏な空気が流れたが、途中から出場した2人の新加入アタッカーがこのムードを払拭。ナサンホはJリーグ初ゴールを挙げ、ジャエルは絶妙なラストパスでDオリヴェイラの逆転弾を演出する。ここ一番で勝負強さを発揮し、ホーム3連勝を達成した。一方、敗れた清水も無敗のFC東京と遜色ない出来だったことは確か。だが、渇望する今季初白星を手にするには、最後の精度がわずかに足りなかった。
8,2,1,1-1,Nah
9,1,0,1-2,サックスブルーのホームチームはサポーターを喜ばせることはできなかった。磐田は前半、相手の攻撃陣のパスワークや2トップの一角に入った鄭大世の高さに苦しみ、守備に追われる時間が長くなる。その鄭大世に先制点を決められて試合を折り返すと、後半13分にもミスからボールを奪われ、追加点を献上。その後は途中出場のロドリゲスの強さやエレンのハードワークが機能して1点差まで迫るも、反撃はここまで。公式戦3連勝とはならなかった。対する清水は「静岡ダービー」を制し、うれしいリーグ戦今季初勝利を挙げた。
10,1,1,1-0,選手入場時に長期離脱のケガを負った石毛へのメッセージを込めたTシャツを着るなど、仲間への熱い思いを見せた清水は、攻守に高いパフォーマンスを発揮して連勝を飾った。前半から一進一退の攻防が続く中、後半37分に試合が動く。相手のFKのチャンスをしのいでカウンターを開始。六反の高精度のフィードからエウシーニョが素晴らしい抜け出しを見せて、最後は北川の正確なシュートがゴールネットを揺らした。好プレーが連続し、見事な決勝点を奪取。好調のエースを中心とした攻撃は「オレンジ軍団」に浮上のキッカケを与えただろう。
11,2,1,2-2,Nah
